nombre_archivo_pdf,perfil_etiquetado,id_operador,nombre_ejercicio,fecha_creacion
Report operacion con carga media 1.pdf,Eficiente,Agustin,Diagnostico 5.1,2025-07-22
Report operacion con carga media 2.pdf,Eficiente,Agustin,Diagnostico 5.1,2025-07-22
Report operacion con carga media 3.pdf,Eficiente,Agustin,Diagnostico 5.1,2025-07-22
Report perfil apurado 1.pdf,Apurado,Agustin,Diagnostico 5.1,2025-07-22
Report perfil apurado 2.pdf,Apurado,Agustin,Diagnostico 5.1,2025-07-22
Report perfil apurado 3.pdf,Apurado,Agustin,Diagnostico 5.1,2025-07-22
Report perfil apurado 4.pdf,Apurado,Agustin,Diagnostico 5.1,2025-07-22
Report perfil apurado 5.pdf,Apurado,Agustin,Diagnostico 5.1,2025-07-22
Report sin nocion del espacio 1.pdf,Sin nocion del espacio,Agustin,Diagnostico 5.1,2025-07-30
Report sin nocion del espacio 2.pdf,Sin nocion del espacio,Agustin,Diagnostico 5.1,2025-07-30
Report sin nocion del espacio 3.pdf,Sin nocion del espacio,Agustin,Diagnostico 5.1,2025-07-30
Report sin nocion del espacio 4.pdf,Sin nocion del espacio,Agustin,Diagnostico 5.1,2025-07-30
Report sin nocion del espacio 5.pdf,Sin nocion del espacio,Agustin,Diagnostico 5.1,2025-07-29
Report ineficiente 1.pdf,Ineficiente,Agustin,Diagnostico 5.1,2025-07-30
Report ineficiente 2.pdf,Ineficiente,Agustin,Diagnostico 5.1,2025-07-30
Report ineficiente 3.pdf,Ineficiente,Agustin,Diagnostico 5.1,2025-07-30
Report ineficiente 4.pdf,Ineficiente,Agustin,Diagnostico 5.1,2025-07-30
Report ineficiente 5.pdf,Ineficiente,Agustin,Diagnostico 5.1,2025-07-30
 
